City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
144,New Norfolk,AU,-42.7826,147.0587,60.3,69,90,0.98,overcast clouds,2022-02-13 19:48:04
145,Ocumare Del Tuy,VE,10.1165,-66.7761,86.61,42,99,7.31,overcast clouds,2022-02-13 19:53:35
146,Victoria,HK,22.2855,114.1577,60.33,87,100,8.99,overcast clouds,2022-02-13 19:46:55
147,Litovko,RU,49.2361,135.1742,11.23,97,100,2.73,light snow,2022-02-13 19:53:36
148,Yulara,AU,-25.2406,130.9889,66.04,39,3,5.75,clear sky,2022-02-13 19:53:36
149,Talnakh,RU,69.4865,88.3972,-7.26,70,17,9.15,few clouds,2022-02-13 19:49:40
150,Belaya Gora,RU,68.5333,146.4167,-20.2,96,89,5.44,overcast clouds,2022-02-13 19:48:00
151,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,75,6.91,broken clouds,2022-02-13 19:48:41
152,Shingu,JP,33.7333,135.9833,45.91,87,100,4.81,light rain,2022-02-13 19:50:22
153,Port Lincoln,AU,-34.7333,135.8667,65.95,85,92,9.98,overcast clouds,2022-02-13 19:47:14
154,Berlevag,NO,70.8578,29.0864,21.0,73,75,3.44,light shower snow,2022-02-13 19:52:02
155,West Fargo,US,46.875,-96.9004,0.01,78,100,21.85,light snow,2022-02-13 19:53:38
156,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,75,7.07,broken clouds,2022-02-13 19:53:38
157,Grand Gaube,MU,-20.0064,57.6608,81.37,78,89,7.0,overcast clouds,2022-02-13 19:52:05
158,Pokrovskoye,RU,47.4157,38.8971,32.81,74,0,4.05,clear sky,2022-02-13 19:53:39
159,Morehead,US,37.2711,-87.1764,38.1,43,0,1.99,clear sky,2022-02-13 19:53:39
160,Puertollano,ES,38.6871,-4.1073,52.68,79,100,8.77,overcast clouds,2022-02-13 19:53:39
161,Solnechnyy,RU,50.7214,136.6319,8.31,95,100,4.65,overcast clouds,2022-02-13 19:53:40
162,Ribeira Grande,PT,38.5167,-28.7,59.4,67,40,5.75,scattered clouds,2022-02-13 19:48:07
163,Manta,EC,-0.95,-80.7333,82.18,69,75,5.75,broken clouds,2022-02-13 19:53:40
164,Caapucu,PY,-26.2167,-57.2,90.07,33,20,8.08,few clouds,2022-02-13 19:53:41
165,Doha,QA,25.2867,51.5333,64.38,59,0,8.05,clear sky,2022-02-13 19:53:41
166,Palembang,ID,-2.9167,104.7458,78.89,94,40,0.0,light rain,2022-02-13 19:53:41
167,Puerto Carreno,CO,6.189,-67.4859,94.98,36,20,6.91,few clouds,2022-02-13 19:53:42
168,Borogontsy,RU,62.6683,131.1683,-39.6,100,50,2.24,scattered clouds,2022-02-13 19:53:42
169,Kruisfontein,ZA,-34.0033,24.7314,65.23,91,16,7.49,few clouds,2022-02-13 19:49:21
170,Kavieng,PG,-2.5744,150.7967,80.74,78,96,6.8,overcast clouds,2022-02-13 19:48:47
171,Sinnamary,GF,5.3833,-52.95,78.8,86,67,9.57,broken clouds,2022-02-13 19:47:02
172,Luganville,VU,-15.5333,167.1667,80.06,86,100,10.45,overcast clouds,2022-02-13 19:53:43
173,Tibu,CO,8.639,-72.7358,94.91,35,90,3.2,overcast clouds,2022-02-13 19:53:44
174,Salina,US,38.8403,-97.6114,39.02,41,0,3.44,clear sky,2022-02-13 19:52:26
175,Vuktyl,RU,63.8567,57.3094,4.28,98,100,3.44,overcast clouds,2022-02-13 19:53:44
176,Oussouye,SN,12.485,-16.5469,84.38,24,5,4.99,clear sky,2022-02-13 19:53:44
177,Lompoc,US,34.6391,-120.4579,86.02,28,0,6.91,clear sky,2022-02-13 19:48:42
178,Rafaela,AR,-31.2503,-61.4867,87.01,15,0,1.99,clear sky,2022-02-13 19:53:45
179,Yantzaza,EC,-3.8278,-78.7594,78.3,83,98,2.13,moderate rain,2022-02-13 19:53:45
180,Marsa Matruh,EG,31.3525,27.2453,59.2,63,20,8.05,few clouds,2022-02-13 19:53:46
181,Poso,ID,-1.3959,120.7524,76.14,85,100,4.43,overcast clouds,2022-02-13 19:53:46
182,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,75,12.66,broken clouds,2022-02-13 19:47:00
183,Kaeo,NZ,-35.1,173.7833,61.32,93,80,5.28,broken clouds,2022-02-13 19:53:47
184,Northam,GB,51.0333,-4.2167,48.02,93,100,21.56,overcast clouds,2022-02-13 19:53:47
185,Margate,GB,51.3813,1.3862,49.96,86,100,10.0,overcast clouds,2022-02-13 19:52:03
186,Lata,PT,40.1629,-8.3327,54.05,97,54,5.64,broken clouds,2022-02-13 19:53:48
187,Preobrazheniye,RU,42.9019,133.9064,14.11,57,62,6.24,broken clouds,2022-02-13 19:53:48
188,Rocha,UY,-34.4833,-54.3333,68.22,50,3,15.26,clear sky,2022-02-13 19:53:27
189,Borger,NL,52.9233,6.7931,48.78,71,100,22.32,overcast clouds,2022-02-13 19:53:49
190,Hasaki,JP,35.7333,140.8333,36.0,92,100,33.24,light rain,2022-02-13 19:45:41
191,Solikamsk,RU,59.6196,56.7729,9.01,99,92,2.75,overcast clouds,2022-02-13 19:53:49
192,Faya,SA,18.3851,42.4509,57.72,41,69,3.98,broken clouds,2022-02-13 19:53:50
